10:24:34 13-11-2009 | th-0074 | 01 |                  main.c   275 | VTSERVER Start...
10:24:44 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port tomDBd n'est pas surcharge par la variable d'environnement TOM_PORT_tomDBd.
10:24:45 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:45 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port tomDBd n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:45 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut tomDBd.
10:24:45 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service tomDBd vaut 20001.
10:24:45 13-11-2009 | th-0074 | 01 |         jsrv_services.c    82 | Port tomDBd (20001) ajoute a la liste.
10:24:45 13-11-2009 | th-0074 | 01 |                  main.c   792 |   * check port tomDBd:20001...
10:24:45 13-11-2009 | th-0074 | 06 |                  capi.c    61 | csapi_connect serveur:192.168.183.1 port:20001 reg:0 tmo:2000ms...
10:24:45 13-11-2009 | th-0074 | 06 |                common.c   576 | Set SO_KEEPALIVE on socket 240.
10:24:45 13-11-2009 | th-0074 | 06 |               fdblock.c     9 | fdblock(socket:240 block:1)...
10:24:46 13-11-2009 | th-0074 | 06 |               fdblock.c    31 | La socket 240 est en mode non bloquant.
10:24:46 13-11-2009 | th-0074 | 06 |                  capi.c   227 | Attente de connexion (err 10035)...
10:24:47 13-11-2009 | th-0074 | 01 |                  capi.c   241 | Pb. de connexion.
10:24:47 13-11-2009 | th-0074 | 01 |                  capi.c   243 | Erreur windows 10061 (Aucune connexion n'a pu être établie car l'ordinateur cible l'a expressément refusée.).
10:24:47 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port gwd n'est pas surcharge par la variable d'environnement TOM_PORT_gwd.
10:24:47 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:47 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port gwd n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:47 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut gwd.
10:24:48 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service gwd vaut 20002.
10:24:48 13-11-2009 | th-0074 | 01 |         jsrv_services.c    82 | Port gwd (20002) ajoute a la liste.
10:24:48 13-11-2009 | th-0074 | 01 |                  main.c   792 |   * check port gwd:20002...
10:24:48 13-11-2009 | th-0074 | 06 |                  capi.c    61 | csapi_connect serveur:192.168.183.1 port:20002 reg:0 tmo:2000ms...
10:24:48 13-11-2009 | th-0074 | 06 |                common.c   576 | Set SO_KEEPALIVE on socket 236.
10:24:48 13-11-2009 | th-0074 | 06 |               fdblock.c     9 | fdblock(socket:236 block:1)...
10:24:48 13-11-2009 | th-0074 | 06 |               fdblock.c    31 | La socket 236 est en mode non bloquant.
10:24:48 13-11-2009 | th-0074 | 06 |                  capi.c   227 | Attente de connexion (err 10035)...
10:24:49 13-11-2009 | th-0074 | 01 |                  capi.c   241 | Pb. de connexion.
10:24:49 13-11-2009 | th-0074 | 01 |                  capi.c   243 | Erreur windows 10061 (Aucune connexion n'a pu être établie car l'ordinateur cible l'a expressément refusée.).
10:24:49 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port ntfy n'est pas surcharge par la variable d'environnement TOM_PORT_ntfy.
10:24:49 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:50 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port ntfy n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:50 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut ntfy.
10:24:50 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service ntfy vaut 20003.
10:24:50 13-11-2009 | th-0074 | 01 |         jsrv_services.c    82 | Port ntfy (20003) ajoute a la liste.
10:24:50 13-11-2009 | th-0074 | 01 |                  main.c   792 |   * check port ntfy:20003...
10:24:50 13-11-2009 | th-0074 | 06 |                  capi.c    61 | csapi_connect serveur:192.168.183.1 port:20003 reg:0 tmo:2000ms...
10:24:50 13-11-2009 | th-0074 | 06 |                common.c   576 | Set SO_KEEPALIVE on socket 240.
10:24:50 13-11-2009 | th-0074 | 06 |               fdblock.c     9 | fdblock(socket:240 block:1)...
10:24:50 13-11-2009 | th-0074 | 06 |               fdblock.c    31 | La socket 240 est en mode non bloquant.
10:24:50 13-11-2009 | th-0074 | 06 |                  capi.c   227 | Attente de connexion (err 10035)...
10:24:51 13-11-2009 | th-0074 | 01 |                  capi.c   241 | Pb. de connexion.
10:24:51 13-11-2009 | th-0074 | 01 |                  capi.c   243 | Erreur windows 10061 (Aucune connexion n'a pu être établie car l'ordinateur cible l'a expressément refusée.).
10:24:52 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port vtserver n'est pas surcharge par la variable d'environnement TOM_PORT_vtserver.
10:24:52 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:52 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port vtserver n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:52 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut vtserver.
10:24:52 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service vtserver vaut 30007.
10:24:52 13-11-2009 | th-0074 | 01 |         jsrv_services.c    82 | Port vtserver (30007) ajoute a la liste.
10:24:52 13-11-2009 | th-0074 | 01 |                  main.c   792 |   * check port vtserver:30007...
10:24:52 13-11-2009 | th-0074 | 06 |                  capi.c    61 | csapi_connect serveur:192.168.183.1 port:30007 reg:0 tmo:2000ms...
10:24:52 13-11-2009 | th-0074 | 06 |                common.c   576 | Set SO_KEEPALIVE on socket 236.
10:24:52 13-11-2009 | th-0074 | 06 |               fdblock.c     9 | fdblock(socket:236 block:1)...
10:24:52 13-11-2009 | th-0074 | 06 |               fdblock.c    31 | La socket 236 est en mode non bloquant.
10:24:53 13-11-2009 | th-0074 | 06 |                  capi.c   227 | Attente de connexion (err 10035)...
10:24:54 13-11-2009 | th-0074 | 01 |                  capi.c   241 | Pb. de connexion.
10:24:54 13-11-2009 | th-0074 | 01 |                  capi.c   243 | Erreur windows 10061 (Aucune connexion n'a pu être établie car l'ordinateur cible l'a expressément refusée.).
10:24:54 13-11-2009 | th-0074 | 06 |              ser2port.c    61 | Le nom du port vtnotifier n'est pas surcharge par la variable d'environnement TOM_PORT_vtnotifier.
10:24:54 13-11-2009 | th-0074 | 06 |              ser2port.c    28 | Utilisation des parametres depuis le fichier "C:\WINDOWS\vtom.ini"
10:24:54 13-11-2009 | th-0074 | 06 |              ser2port.c    79 | Le nom du port vtnotifier n'est pas surcharge dans la section [ports] du fichier C:\WINDOWS\vtom.ini.
10:24:54 13-11-2009 | th-0074 | 06 |              ser2port.c    86 | On utilise le nom du port par defaut vtnotifier.
10:24:54 13-11-2009 | th-0074 | 06 |              ser2port.c    92 | Le port tcp du service vtnotifier vaut 30008.
10:24:54 13-11-2009 | th-0074 | 01 |         jsrv_services.c    82 | Port vtnotifier (30008) ajoute a la liste.
10:24:54 13-11-2009 | th-0074 | 01 |                  main.c   792 |   * check port vtnotifier:30008...
10:24:54 13-11-2009 | th-0074 | 06 |                  capi.c    61 | csapi_connect serveur:192.168.183.1 port:30008 reg:0 tmo:2000ms...
10:24:55 13-11-2009 | th-0074 | 06 |                common.c   576 | Set SO_KEEPALIVE on socket 240.
10:24:55 13-11-2009 | th-0074 | 06 |               fdblock.c     9 | fdblock(socket:240 block:1)...
10:24:55 13-11-2009 | th-0074 | 06 |               fdblock.c    31 | La socket 240 est en mode non bloquant.
10:24:55 13-11-2009 | th-0074 | 06 |                  capi.c   227 | Attente de connexion (err 10035)...
10:24:56 13-11-2009 | th-0074 | 01 |                  capi.c   241 | Pb. de connexion.
10:24:56 13-11-2009 | th-0074 | 01 |                  capi.c   243 | Erreur windows 10061 (Aucune connexion n'a pu être établie car l'ordinateur cible l'a expressément refusée.).
10:24:56 13-11-2009 | th-0074 | 01 |                  main.c   842 | 
10:24:56 13-11-2009 | th-0074 | 03 |           lsrv_server.c    76 | load_entries(force reload=no)...
10:24:56 13-11-2009 | th-0074 | 03 |           lsrv_server.c    84 | Lecture impossible de "D:\VTOM5\BASES/license.lic", poursuite de la recherche dans TOM_BIN...
10:24:56 13-11-2009 | th-0074 | 03 |           lsrv_server.c   110 | Lecture de  D:\VTOM5\VTOM\BIN/license.lic car 10:24:56 13-11-2009 | th-0074 | 03 |           lsrv_server.c   112 | la date du fichier a changee.
10:24:56 13-11-2009 | th-0074 | 03 |           lsrv_server.c   117 | load_entries ok.
10:24:57 13-11-2009 | th-0074 | 01 |                  main.c   967 | La clef "VT-PRODUIT" est valide encore 3240 jour(s) (jusqu'au 27/09/2018).
10:24:57 13-11-2009 | th-0074 | 01 |                  main.c  1019 | La clef "VT-MACHINE" est valide encore 3240 jour(s) (jusqu'au 27/09/2018).
10:24:57 13-11-2009 | th-0074 | 01 |                  main.c  1029 | 1/700 machine(s) utilisee(s)
10:24:57 13-11-2009 | th-0074 | 01 |                  main.c  1100 | 
10:24:57 13-11-2009 | th-0074 | 04 |          main_primary.c    49 | primary: launching primary server...
10:24:57 13-11-2009 | th-0074 | 04 |          main_primary.c    59 | primary: initialization done, primary server running.
10:24:57 13-11-2009 | th-00f0 | 01 |          main_primary.c    73 | 
10:24:57 13-11-2009 | th-00f0 | 01 |          main_primary.c    74 | [Initialisation de la base de du domaine XML]
10:24:58 13-11-2009 | th-00f0 | 01 |          main_primary.c    77 | - init Embedded Database (D:\VTOM5\BASES)...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   143 | Initialisation de la base...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   195 | Ouverture de node.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   216 | Ouverture de glink.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   236 | Ouverture de graph.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   248 | Ouverture de list.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   271 | Ouverture de user.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   284 | Ouverture de usrlogin.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   297 | Ouverture de machine.dbf...
10:24:58 13-11-2009 | th-00f0 | 03 |                dbinit.c   317 | Ouverture de mac_rname.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   330 | Ouverture de link.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   346 | Ouverture de date.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   359 | Ouverture de message.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   370 | Ouverture de comment.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   383 | Ouverture de env.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   396 | Ouverture de appl.dbf...
10:24:59 13-11-2009 | th-00f0 | 03 |                dbinit.c   435 | Ouverture de job.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   472 | Ouverture de modjob.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   493 | Ouverture de resource.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   506 | Ouverture de period.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   519 | Ouverture de superiod.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   532 | Ouverture de superiod.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   545 | Ouverture de planning.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   558 | Ouverture de movement.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   571 | Ouverture de queue.dbf...
10:25:00 13-11-2009 | th-00f0 | 03 |                dbinit.c   584 | Ouverture de rscuse.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   597 | Ouverture de rights.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   610 | Ouverture de stats.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   624 | Ouverture de token.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   637 | Ouverture de config.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   650 | Ouverture de context.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   663 | Ouverture de variable.dbf...
10:25:01 13-11-2009 | th-00f0 | 03 |                dbinit.c   693 | Base initialisee en 3s.
10:25:01 13-11-2009 | th-00f0 | 01 |                dbinit.c   695 |   * initialization in 3s
10:25:02 13-11-2009 | th-00f0 | 01 |          main_primary.c    85 | - init Relational Database...
10:25:02 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   319 | abs_sgbd_getConnection...
10:25:02 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   432 | abs_sgbd_query...
10:25:02 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   168 | abs_sgbd_pg_query...
10:25:02 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   196 | abs_sgbd_pg_query ok (statut PGRES_TUPLES_OK).
10:25:02 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   681 | abs_sgbd_getField...
10:25:02 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   573 | abs_sgbd_pg_getField...
10:25:02 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   583 | abs_sgbd_pg_getField (retourne 1) ok.
10:25:02 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   625 | abs_sgbd_freeResult...
10:25:02 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   398 | abs_sgbd_pg_freeResult...
10:25:02 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   409 | abs_sgbd_pg_freeResult ok.
10:25:03 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   319 | abs_sgbd_getConnection...
10:25:03 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   432 | abs_sgbd_query...
10:25:03 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   168 | abs_sgbd_pg_query...
10:25:03 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   196 | abs_sgbd_pg_query ok (statut PGRES_TUPLES_OK).
10:25:03 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   681 | abs_sgbd_getField...
10:25:03 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   573 | abs_sgbd_pg_getField...
10:25:03 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   583 | abs_sgbd_pg_getField (retourne 1) ok.
10:25:03 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   625 | abs_sgbd_freeResult...
10:25:03 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   398 | abs_sgbd_pg_freeResult...
10:25:03 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   409 | abs_sgbd_pg_freeResult ok.
10:25:03 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   319 | abs_sgbd_getConnection...
10:25:04 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   432 | abs_sgbd_query...
10:25:04 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   168 | abs_sgbd_pg_query...
10:25:04 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   196 | abs_sgbd_pg_query ok (statut PGRES_TUPLES_OK).
10:25:04 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   681 | abs_sgbd_getField...
10:25:04 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   573 | abs_sgbd_pg_getField...
10:25:04 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   583 | abs_sgbd_pg_getField (retourne 1) ok.
10:25:04 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   625 | abs_sgbd_freeResult...
10:25:04 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   398 | abs_sgbd_pg_freeResult...
10:25:04 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   409 | abs_sgbd_pg_freeResult ok.
10:25:04 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   319 | abs_sgbd_getConnection...
10:25:04 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   432 | abs_sgbd_query...
10:25:05 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   168 | abs_sgbd_pg_query...
10:25:05 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   196 | abs_sgbd_pg_query ok (statut PGRES_TUPLES_OK).
10:25:05 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   681 | abs_sgbd_getField...
10:25:05 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   573 | abs_sgbd_pg_getField...
10:25:05 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   583 | abs_sgbd_pg_getField (retourne 1) ok.
10:25:05 13-11-2009 | th-00f0 | 05 |              abs_sgbd.c   625 | abs_sgbd_freeResult...
10:25:05 13-11-2009 | th-00f0 | 05 |        abs_sgbd_pgsql.c   398 | abs_sgbd_pg_freeResult...
